"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Mar 31 12:19:33 IST 2022","Thu Mar 31 12:19:35 IST 2022","2110","Default Suite","RestAssured","com.rest.SingleEmpRecordStatus","com.rest.SingleEmpRecordStatus","employee_record_verify_msg","employee_record_verify_msg",""
"passed","Thu Mar 31 12:19:35 IST 2022","Thu Mar 31 12:19:36 IST 2022","952","Default Suite","RestAssured","com.rest.SingleEmpRecordStatus","com.rest.SingleEmpRecordStatus","single_employee_record_status_code","Check the status code of single_employee_record API",""
"broken","Mon Apr 04 22:58:37 IST 2022","Mon Apr 04 22:58:38 IST 2022","992","Default Suite","RestAssured","AllEmployeeTest","AllEmployeeTest","verifyImageIsEmptyForAllEmployee","To verify profile_image is blank for each employee",""
"passed","Thu Mar 31 12:19:32 IST 2022","Thu Mar 31 12:19:33 IST 2022","1229","Default Suite","RestAssured","com.rest.EmployeeTest","com.rest.EmployeeTest","verifyImageIsEmptyForAllEmployee","To verify profile_image is blank for each employee",""
"broken","Thu Mar 31 11:44:22 IST 2022","Thu Mar 31 11:44:22 IST 2022","30","Default Suite","RestAssured","com.rest.SingleEmpRecordStatus","com.rest.SingleEmpRecordStatus","employee_fetch_record_file","employee_fetch_record_file",""
"passed","Sun May 15 17:23:07 IST 2022","Sun May 15 17:23:16 IST 2022","9302","Default Suite","RestAssured","AsteriodApiTest","AsteriodApiTest","validate_get_status_code","To Verify the status code 200 of SBDB Close-Approach Data  Asteriods API",""
"passed","Mon Apr 04 22:58:41 IST 2022","Mon Apr 04 22:58:43 IST 2022","2035","Default Suite","RestAssured","EmpResponseMsgTest","EmpResponseMsgTest","validate_msg","Verify the specific msg in the response body successfully",""
"passed","Mon Apr 04 22:58:38 IST 2022","Mon Apr 04 22:58:40 IST 2022","2537","Default Suite","RestAssured","EmpRecordResponseTest","EmpRecordResponseTest","employee_record_extract_response","To verify response body pattern of Single Employee Record",""
"failed","Thu Mar 31 12:19:21 IST 2022","Thu Mar 31 12:19:27 IST 2022","6085","Default Suite","RestAssured","com.rest.EmployeeTest","com.rest.EmployeeTest","validate_get_status_code","To Verify the status code of Employee API ",""
"passed","Fri Apr 01 08:21:11 IST 2022","Fri Apr 01 08:21:18 IST 2022","6345","Default Suite","RestAssured","AllEmployeeTest1","AllEmployeeTest1","validate_get_status_code","To Verify the status code 200 of ALL Employee API ",""
"passed","Thu Mar 31 12:19:36 IST 2022","Thu Mar 31 12:19:37 IST 2022","895","Default Suite","RestAssured","SingleEmpResponse","SingleEmpResponse","employee_record_extract_response","To generate the entire Response of Single Employee Record",""
"passed","Sun May 15 17:27:57 IST 2022","Sun May 15 17:28:26 IST 2022","29733","Default Suite","RestAssured","AsteriodApiTest","AsteriodApiTest","verify_query_params","To Verify the QueryParams In The API",""
"passed","Sun May 15 17:20:37 IST 2022","Sun May 15 17:21:27 IST 2022","49905","Default Suite","RestAssured","EmpRecordResponseTest","EmpRecordResponseTest","verify_query_params","To Verify the QueryParams In The API",""
"passed","Fri Apr 01 08:19:15 IST 2022","Fri Apr 01 08:19:16 IST 2022","1061","Default Suite","RestAssured","com.rest.AllEmployeeTest","com.rest.AllEmployeeTest","verifyImageIsEmptyForAllEmployee","To verify profile_image is blank for each employee",""
"passed","Sat May 14 23:12:10 IST 2022","Sat May 14 23:12:20 IST 2022","10727","Default Suite","RestAssured","SbdbApproachDataApi","SbdbApproachDataApi","validateVersion","To verify the Version in The Response Body Of API",""
"passed","Fri Apr 01 08:19:04 IST 2022","Fri Apr 01 08:19:10 IST 2022","6209","Default Suite","RestAssured","com.rest.AllEmployeeTest","com.rest.AllEmployeeTest","validate_get_status_code","To Verify the status code 200 of ALL Employee API ",""
"failed","Fri Apr 01 08:19:26 IST 2022","Fri Apr 01 08:19:28 IST 2022","1241","Default Suite","RestAssured","com.rest.EmpRecordStatusTest","com.rest.EmpRecordStatusTest","single_employee_record_status_code","Assertion to Fetch a single employee record using excel  & check status  200 ",""
"passed","Fri Apr 01 08:21:23 IST 2022","Fri Apr 01 08:21:24 IST 2022","1245","Default Suite","RestAssured","AllEmployeeTest1","AllEmployeeTest1","verifyImageIsEmptyForAllEmployee","To verify profile_image is blank for each employee",""
"failed","Mon Apr 04 22:58:40 IST 2022","Mon Apr 04 22:58:41 IST 2022","1101","Default Suite","RestAssured","EmpRecordStatusTest","EmpRecordStatusTest","single_employee_record_status_code","Assertion to Fetch a single employee record using excel  & check status  200 ",""
"passed","Fri Apr 01 08:27:42 IST 2022","Fri Apr 01 08:27:49 IST 2022","7196","Default Suite","RestAssured","RecordStatus","RecordStatus","single_employee_record_status_code","Assertion to Fetch a single employee record using excel  & check status  200 ",""
"passed","Thu Mar 31 15:41:08 IST 2022","Thu Mar 31 15:41:15 IST 2022","6620","Default Suite","RestAssured","com.rest.SingleEmpRecordStatusTest","com.rest.SingleEmpRecordStatusTest","validate_msg","Verify the msg in the response body successfully",""
"passed","Sat May 14 23:24:03 IST 2022","Sat May 14 23:24:12 IST 2022","9316","Default Suite","RestAssured","SbdbApproachDataApi","SbdbApproachDataApi","validate_get_status_code","To Verify the status code 200 of SBDB Close-Approach Lunar Distance Data API ",""
"passed","Tue Apr 05 13:03:48 IST 2022","Tue Apr 05 13:03:55 IST 2022","6574","Default Suite","RestAssured","AllEmployeeTest","AllEmployeeTest","validate_get_status_code","To Verify the status code 200 of ALL Employee API ",""
